source_record_id,n_extractions,books,title,drugs_conflict,symptoms_conflict,syndrome_conflict,op_related_conflict,relevance_conflict,first_not_highest_quality,first_has_no_drug_but_others_do,union_herbs
0075d7f02b5db30e8921e913b816402e,14,四诊法,足少阴气绝即骨枯。少阴者，冬脉也，伏行而温于脊髓。故骨髓不温即肉不着骨，骨肉不相,False,True,True,False,False,True,False,
00e9c7bd283a84a33b4b32adf2c99d6b,2,黄帝内经素问白话版,黄帝问道：痿证是怎样引起的？岐伯说：肺是诸脏之张，又是心脏的华盖。遇有失意的事情,False,True,False,False,False,False,False,
018f12458b33e8245dd5d3963c866698,3,奇效良方,治 扑损伤，骨碎骨折，筋断刺痛，不问轻重，并皆治之。,False,False,False,True,False,False,False,
01ed38709092f0130dcb3f41dafd439b,2,千金要方（四库本）,虎骨酒治骨虚酸疼不安好倦主膀胱寒方,False,False,False,False,False,True,False,虎骨酒
0208176291f4a565c5096137c693430c,2,范中林六经辨证医案,【诊治】患者跛行，左下肢筋骨沿后侧呈放射性疼痛近六年，时有刺痛感。左足凉麻甚。舌,False,False,False,False,False,False,False,不二丹;五通散;当归四逆汤;酒醴
024f956890114f55e0602f4474c5bf90,2,医宗金鉴,此膏治跌打损伤，筋断骨折，肿硬青紫。,True,True,False,False,False,False,False,没药降灵丹
02db45c400c79f670059ac4628fc8319,3,素问释义,大迎骨空各一。,False,False,False,True,False,False,False,
02f1f47105f4e574c376f2069f9022da,2,中藏经校注,论骨痹第三十八,False,False,True,True,False,False,False,
037b0b81bf008df281a00ddefbfd3fed,5,"古今图书集成医部全录010（303-358,内科、伤寒）",【 注　阴阳之气不和，则液与精不合，使液溢于骨外，而下流于阴矣。液溢于外，则髓液,False,True,True,False,False,True,False,
03a133ea14216a2154f528ed6c19d9bd,22,素问悬解,肾气热则腰脊不举，骨枯而髓减，发为骨痿。,True,True,False,False,False,True,True,三因加减四斤丸;丹溪虎潜丸;六味丸;安肾丸;小续命汤;独活寄生汤;知母;羌活胜湿汤;黄柏
03f8d1166c86f521a1f3d265020b7a16,2,杂病广要,医经载五劳六极之证，非传尸骨蒸之比，多由不能卫生，始于过用，逆于阴阳，伤于荣卫，,False,True,True,False,False,False,False,
04650d82b5a8d522f5ea4640718b81d9,7,重订灵兰要览,小便黄赤，虚火时炎，是为阴虚。东垣所谓膏粱之人，久服汤药，醉以入房，损其真气，则,True,True,True,False,False,True,False,五积散;六味丸;六味地黄丸;大柴胡汤;姜附汤;官桂;封髓丹;小柴胡汤;小续命汤;干姜附子汤;摩腰膏;杜仲;滋肾丸;独活寄生汤;续断;羊肾;羌活;肉桂;肾气丸;茴香丸;风髓丹;鹿茸;黑豆
04ed345ed2f8689395fed041ff4a64ad,2,普济方（四库本181-240卷）,夫虚劳羸痩者五臓之气伤损也经所谓一损损于皮毛毛聚而毛落二损损于血脉血脉虚少不能荣,False,False,True,False,False,False,False,
053330738051ad6af62d1e7ec96f32fa,8,古今图书集成医部全录,肾脉微滑为骨痿，坐不能起，起则目无所见。,False,True,True,False,False,True,False,
053c7c52f6a0ebfc6865585031f8fb0c,2,中藏经校注,痹者，风寒暑湿之气中于人〔1〕脏腑之为〔2〕也。入腑，则病浅易治；入脏，则病深难,False,False,True,False,False,False,False,
0566e6c2143749fe8b32f40f7c2a8baf,2,古今图书集成医部全录,＋ 骨痹证  主肾气弱,False,False,False,False,False,False,False,
0589e60cc22250b12cc83c6089dd1656,3,临证一得方,（案103）症属阴分不足，筋挛骨痿，虚损之重候也。填补，其可缓也。,True,False,True,False,False,False,True,回阳玉龙膏
058fb995ea1dfaed91b022c7e681b141,2,神灸经纶,手足为诸阳之本阳之气主动以应天经曰天有十日人有手十指以应之天有十二行人有足十指茎,True,False,False,False,False,False,False,大补元煎;橘络桑枝膏;清暑益气汤;生脉散
05c614ba6d6bfafbfc74508b7fb72219,2,"古今图书集成医部全录003（47-68,灵枢）",【 马莳曰：此言肾经之脉异病变也。急为肝脉，肾得急脉而甚，则肾主骨，风邪入骨，当,False,True,False,False,False,False,False,
0661089426171f0406667ee8ca3d9676,11,古今图书集成医部全录009（211-302）,短刺者，刺骨痹稍摇而深之，致针骨所，以上下摩骨也。,False,True,True,True,False,True,False,
06c002d7d305784991a92769fd72cfab,2,叶氏录验方,治打扑伤损骨折筋伤皆治之。,True,True,False,False,False,False,True,槐实
082f308f6b9f64c80a80e3373ca0d9ee,2,三元参赞延寿书,书云：因汗入水，即成骨痹。,False,False,True,True,False,False,False,
085f16049937b8364077a8e0e862fc49,5,"古今图书集成医部全录010（303-358,内科、伤寒）",【 注　姚氏曰：精液补益脑髓而下流阴股，故髓海有余则足劲轻健而多力。髓从骨空，循,False,True,True,False,False,True,False,
08773278f2625308356697f646134c41,2,黄帝内经太素,言骨上有空，五谷津液入此骨空，资脑髓也。此骨空种数所在难分，此皆可知者，不可知者,False,False,False,False,False,False,False,
0a5d6b9e89dc3df26f1fd7a882f0037c,4,普济方（四库本1-60卷）,干汤　疗骨极主肾实热则色炲隐曲膀胱不通大便壅塞四肢急疼,True,True,False,False,True,True,False,三黄汤;地黄;大戟;大黄;干枣;干枣汤方;干汤;甘草;甘遂;芫花;黄芩
0aa048523b064712f6d638012b3bde4c,2,皇汉医学,疗吐血在胸腹不去，破骨折血结，金疮内塞，产后中寒，下乳汁。(《别录》),False,True,True,True,False,False,False,蛴螬
0ac5d3dcda2c83b861cfec87966f8093,11,医林掇英,钟老频频点头，诚恳地说：“应医生说得很对，我们对局部辨证应该给予一定的重视。在外,True,True,False,False,False,True,True,清暑益气汤;调中益气汤
0b010f6bf1aa982532e236bbf9ad6fbb,2,类经,积寒留舍，荣卫不居，卷肉缩筋，肋肘不得伸，内为骨痹，外为不仁。<em>（经络八。,True,False,False,True,True,False,True,附子
0b3417ae28f6d31f7a148e59d2072086,2,灵素节注类编,一身内外之气，由肺权衡敷布，肺热叶焦，则气不能输转周行，即无津液以濡养皮毛，而虚,False,False,False,False,False,False,False,
0bd1b88154381296dd284f0024a2e6c3,7,针灸问答,答：睛明　瞳髎　大骨空　小骨空　拳尖　合谷　足三里　光明,False,False,True,True,True,True,False,
0c0005c405916cb65b658fccdbbb107d,3,古今图书集成医部全录009（211-302）,黄帝问于伯高曰：何以知骨之病也？伯高曰：耳焦枯，受尘垢，病在骨，骨有属，骨之属者,False,False,True,False,False,False,False,
0c01a840728f3b4f2ea81ab7070c95bd,2,针灸逢源,为三 。(阳辅穴足少阳之别络于厥阴并经下络足跗故曰同阴之脉)阳维之脉令人腰痛。痛,False,True,True,False,False,False,False,
0c5393a3e69a7052d156f277a213112b,2,古今图书集成医部全录009（211-302）,风痹痿厥四论，《内经》言之详矣。今余又为之说，不亦赘乎？曰：非赘也。为近世不读《,True,False,True,False,False,False,False,凉膈散;柴胡饮子;泻心汤;盐水;苦参;黄连;黄连解毒汤
0de8a173684b4abba92396465aeddf7b,2,济阳纲目,李氏曰：血阴而气阳也，有暴虚而无伤损者，易复。有虚而亏损者，亦可补益。惟久虚而伤,True,True,True,False,False,False,False,人参理中汤;十全大补汤;四物汤;牛膝丸;生脉散;补中益气汤
0ef7d1a4e4f258ca240aeba7756e7273,2,黄帝八十一难经纂图句解,肾主骨，骨枯髓减，发为骨痿。痿，无力也。,False,False,True,False,False,False,False,
0ffd45f88fd4d0112f3967e515f4fe0d,3,医经原旨,大骨枯槁，大肉陷下，骨髓内消，动作益衰，真脏未见，期一岁死，见其真脏，乃予之期日,True,True,True,False,False,False,True,大黄虫丸;百劳丸
101d8a5072552345eec9a7cb9a84048f,2,素问灵枢心得,真气者，所受于天，与谷气并而充身者也。正气者，正风也，从一方来，非实风，又非虚风,False,False,True,False,True,True,False,
10a85d8c13d7a3ab435d67d63d68da90,2,古今图书集成医部全录,【 注  痹者，痹闭而不遂也。泣者，凝于络脉，泣濇而不能流行也。厥者，逆冷也。血,False,False,False,False,False,False,False,
10b95bf7af32fb9211449c9628a81601,2,"古今图书集成医部全录006（122-150,头面耳）",聋之为病，俗医率以慓悍燥烈之药治之，往往谓肾水虚冷故也。夫岂知水火之阴阳，心肾之,False,True,False,False,False,False,False,
10cab23ca17df4ec09525f4261fc40b2,4,赤水玄珠（标点本）,运气言少气有二：一曰火热。经云：火郁之发，民病少气。又云：少阴之复，少气骨痿。又,False,True,True,False,False,True,False,
11e100f83783c5edf0c964fe206db65f,2,证治准绳·杂病,故《下经》曰：肉痿者，得之湿地也。又曰：脾热者，色黄而肉蠕动。宜苍、白术，二陈，,False,False,False,False,False,True,False,二陈汤;加味四斤丸;牛膝丸;白术;苍术;金刚丸;霞天膏
1396fcbb999cfbb7550f742e42d36213,10,古今图书集成医部全录009（211-302）,太阳有余，病骨痹身重。,False,True,True,False,False,False,False,
13c7270e80f84078cb186c51f7cc7538,2,证治准绳·杂病,宜八味顺气散，或调气散，或四七汤。手足搐搦为风厥，宜小续命汤。因酒而得为酒厥，宜,True,False,False,False,False,False,True,二陈汤;八味顺气散;四七汤;小续命汤;葛花解酲汤;调气散
13ec430187ef343de5aa912f3b69c3d6,2,杂病心法要诀,成劳者，谓虚损日久，留连不愈，而成五劳、七伤，六极也。因复感者，谓不足之人，阳虚,False,False,False,False,False,True,False,
14a414d0e21ffd2a40bb78fdf49ac518,2,东医宝鉴,夫肾虚为病，不能纳诸气以归元。故气逆而上，咳嗽痰盛，或喘或胀，髓虚多唾，足冷骨痿,True,True,False,False,False,False,True,人参汤;八味丸;安肾元;补骨脂
15773af810774da663b1220610e5effb,3,经验丹方汇编,跌打骨折,True,False,True,False,False,False,True,古石灰;小麦叶;白及;白芨;白蜡;童便;自然铜;莲房灰;萝葡叶;青松毛;韭汁
15b365594c90c361963b88f496907730,7,景岳全书,脾劳者，舌本苦直，不得咽唾。肾劳者，背难以俯仰，小便不利，色赤黄而有余沥，茎内痛,True,True,True,False,True,False,True,丹溪虎潜丸;保命金刚丸;六味丸;鹿角丸
15dfb7bd31b90e2ad1f2a7dc84782843,2,黄帝内经灵枢注证发微,此言肾绝之证候死期也。肾主骨，其脉行于冬而濡骨髓，惟肾气绝，则骨枯肉脱，齿槁发焦,False,True,False,False,False,False,False,
15f3ecda5af404289178bbb248508f6c,2,景岳全书,徐东皋曰：腰者肾之外候，一身所恃以转移阖辟者也。盖诸脉皆贯于肾而络于腰脊，肾气一,False,False,True,False,False,False,False,补肾汤丸
17665f07ba60ba36315dcc62448e87a8,2,太乙版黄帝内经,足少阴之气绝也，水竭骨枯。少阴者，冬之脉也，伏行而濡骨髓者也。故骨不濡，则肉不能,False,False,False,False,False,True,False,
1786a17cc6a963a9a34703e278cb0f44,6,永类钤方,哺露疳　虚热往来，头骨分开，翻食吐虫，烦渴呕哕。此三者使柴骨枯露，危矣。,True,True,True,True,True,True,True,十全丹;十金丹;大芦荟丸
17e4d777db0aeb9eb2b3e39780ce8254,9,中国接骨图说,上为细末。诸骨碎骨折出臼者。每服一钱。好酒调下。麻倒不知疼处。,True,True,True,True,False,False,True,乌药;半夏;川芎;当归;木鳖子;猪牙皂角;白芷;紫金皮;麻药方
18eeeb15116c89297b01828ab1384f73,3,中藏经,又，其脉急甚，则肾痿瘕疾；微急，则沉厥，奔豚，足不收；缓甚，则折脊；微缓，则洞泄,False,True,True,False,False,False,False,
195724562cd2fc624d9d2cb8431396c9,18,古今图书集成医部全录,太阳有余，病骨痹身重。,False,True,True,True,False,False,False,
197965c00f056a618d3f5201d75ca353,2,循经考穴编,肾气绝，即骨枯。少阴者，冬脉也，伏行而温于骨髓；骨髓不温，则肉不着骨，骨肉不相亲,False,False,False,False,False,False,False,
198a0dae55b93d6d7a206fc5c8679023,2,"古今图书集成医部全录005（93-121,脏腑经络运气）",肾，水官也。左肾右肾，前对脐，后着于脊。丈夫六十肾气衰，发落齿槁，阳气衰，毛发焦,False,True,False,False,False,False,False,
1a6df2fe1aa3818340564d96816e06ce,3,脉经,肾脉急甚，为骨痿、癫疾；微急，为奔豚、沉厥，足不收，不得前后。缓甚，为折脊；微缓,True,True,False,False,False,False,True,内补散;地黄煎;建中汤;肾气丸
1d3d570d2574b8abb54b67cd12a1b38a,2,医学心悟杂症要义,「腰涌，有风、有寒、有湿、有热、有瘀血、有气滞、有疾饮、皆标也，肾虚其本也。腰痛,True,True,True,False,False,True,False,二陈汤加白术、萆薢、白芥子、竹沥、姜汁;八味丸;六君子汤;六君子汤加杜仲、续断;六味丸;橘核丸;泽兰汤;独活汤;苍白二陈汤;苍白二陈汤加独活
1d743e32ed03431efe499b250409ea61,2,神农本草经译注,【2】六极：指六种极度虚损的病症。“一曰气极，令人内虚，五臟不足，邪气多，正气少,False,True,True,False,False,False,False,
1d8236cf79de2ba32177fc019031bc99,3,不居集,骨极,True,True,True,False,True,False,True,八味丸;天门冬大煎;木瓜汤;牛膝丸;独活寄生汤
1e742750eb9138671a973493b54e547d,3,医灯续焰,李知府妻杨氏，带下病七年，月崩不止，骨痿着床。日服五丸至十丸、十五丸。取下脓血五,True,False,True,False,False,False,False,万病紫菀丸
1efbfc3c68a4a423d6ff7ea25015d073,2,针方六集,大小骨空皆妙处，艾火须当识得真。,True,False,False,False,False,False,False,艾火
1f151f8117735e50a8de709f9631ac97,3,卫生易简方,治骨折 用乳香末掺极痛处，以小黄米粥涂上，却用五灵脂一两，茴香一钱，共为末，浓掺,True,True,True,False,False,False,False,乌金散;乌金石;乳香;五灵脂;五灵脂散;大黄;小黄米粥;当归;生姜;自然铜;茴香;黄小米粥;龟板
1f435d23a8dea12c3524426dc1f6c932,2,外台秘要,删繁论曰∶凡骨极者。主肾也。肾应骨。骨与肾合。又曰以冬遇病为骨痹。骨痹不已。,False,False,True,False,False,False,False,
1f71a418a63b5ee71de6b91b84f59b0f,2,名老中医陈治恒经验集,肾主骨生髓，肾气衰，故发生骨枯髓减；肝主筋，又为罢极之本，肝气衰则疲乏无力，甚至,True,True,True,False,True,False,True,丹参;人参;山茱萸;巴戟天;当归;补骨脂;鸡血藤;鹿角胶;黄精;黄芪
1fa2672cb6c08eab4e1e5776afe0e24c,2,内经诠释,骨枯髓虚，肾脂枯不长。足不任身，足弱不能胜任其身。发为骨痿。骨痿，则软弱不能起于,True,True,False,False,False,False,True,内补散;地黄煎;建中汤;肾气丸;肾沥汤
1fa733a6d3db5b12d1fb7929ed571fcc,2,证治合参,知柏地黄丸（即六味加知母），黄柏　治阴虚火动，骨痿髓枯。,True,True,False,False,False,False,False,知柏地黄丸;知母;黄柏
1fc87d18734899dd02184e13b57ccc77,38,顾松园医镜,六味加知柏方〔见火。〕治远行劳倦，逢大热而渴，阳气内伐，热舍于肾，水干火旺，骨枯,True,True,False,False,False,True,True,二冬;人参酒;健步丸;六味加知柏方;杜仲;柏皮;清暑益气汤;滋阴补髓汤;煨肾丸;牛膝;牛膝丸;牛膝丸加味四斤丸;猪脊筋;知母;石斛;羌活胜湿汤;虎骨;补益肾肝丸;调中益气汤;金刚丸;黄柏;龟甲
1fe5fc533e919fd18a7642ce7c2c9807,5,古今图书集成医部全录,大骨枯藁，大肉陷下，肩髓内消，动作益衰，真脏来见，期一岁死。见其真脏，乃予之期日,False,True,True,False,False,True,False,
1fe93a937e64a789db5a8908fe12c3e6,3,古今图书集成医部全录009（211-302）,【 注　骨痿不起，热伤肾气也。目无所见，热伤骨精也。】,False,True,True,False,False,False,False,
2079ac4f285d575ffde50deee7a0c20e,5,医学纲目,〔《灵》〕 血脉荣卫周流不休，上应星宿，下应经数。寒邪客之则血泣，血泣则不通，不,True,True,True,True,True,False,True,豕膏
208bc8007010120a3031d82f609decf0,2,古今图书集成医部全录,足少阴气绝则骨枯发无泽。发无泽者骨先死。,False,True,False,False,False,False,False,
209ffe106bd0d53ae5b26da649de7ef7,2,赤水玄珠（标点本）,肾热生骨痿，足不任身，腰脊不举，骨枯髓减，色黑而齿槁者。补其荥然谷，通其俞太溪。,False,True,False,False,False,False,False,
216c816c2c413ff3ceae32db2108fdbe,3,济阳纲目,东垣曰：夫脾胃虚弱，必上焦之气不足，遇夏天热盛，损伤元气，怠惰嗜卧，四肢不收，精,False,True,False,False,False,False,False,
218bd628a89e5f2095669182fcf87256,14,伤科汇纂,<span style='font-weight:bold;'>骨折伤,True,True,True,True,False,False,False,乳香;厚朴栀子汤;姜汁;定痛膏;封口药;接骨膏;散血膏;杉木片;枫香;柴胡龙骨牡蛎汤;桂枝茯苓丸;没药;生韭自然汁;童便;糯米粉;续断;草荞;补肉膏;补肌散;金沸草
22819f2e2a096b33fd1f0f3df3c52065,3,古今图书集成医部全录009（211-302）,肾气热生骨痿，故足不任身。诸痿皆属于上者，指病之本在肺也。故必先起于肺，然后热传,False,True,False,False,False,False,False,
22f78a5165e0d75040885e6ca157093c,2,医学纲目,腰痛引少腹控 ，不可以仰，刺腰尻交者，两髁胂上，以月生死为 数，发针立已，左取右,False,False,False,False,True,True,False,
2335e04be431807c1cc3618ddd678dff,3,柳选四家医案,风寒湿三气。伏留于骨。骨节酸痛。自冬而起。所谓骨痹也。骨痹不已。内舍于肾。则发热,False,True,False,False,False,False,False,
2525d1fb9a7e4bb6c44d7f03f1e8922e,2,医学传心录,东垣①曰：“饮食不节则胃病，胃病则气短精神少。胃虚则火邪乘之而生大热，有时而显火,True,False,True,False,False,False,False,五苓散;四君子汤;四物汤;平胃散;补中益气汤;黄芪建中汤
2592b706db38b651afc806a427bf29d9,4,济阳纲目,麦斗散　治跌伤骨折。,True,True,True,False,False,True,False,人参汤;姜汁、好醋、独子肥皂;杉木或杉板;益元散;续骨神丹;酒;雄鸡血;麦斗散
